id,name,altName,caloriesPer100g,proteinPer100g,carbsPer100g,fatPer100g,source
dost-32,"Bread, hotdog roll",N/A,320,10.2,61.3,3.8,DOST PH
dost-33,"Bread, toasted, w/ margarine-sugar topping",Biscocho,412,9.3,77.1,7.4,DOST PH
dost-34,"Bread, mung bean loaf",Munggo bread,352,13.5,55.8,8.3,DOST PH
dost-35,"Bread, pan de bonete",N/A,329,12.3,60,4.4,DOST PH
dost-36,"Bread, pan de coco",N/A,349,9.2,60.9,7.6,DOST PH
dost-37,"Bread, pan de leche",N/A,323,10.5,63.5,3,DOST PH
dost-38,"Bread, pan de limon",N/A,321,10.6,60.9,3.9,DOST PH
dost-39,"Bread, pan de monay",N/A,318,10.6,61.3,3.4,DOST PH
dost-40,"Bread, pan de sal",N/A,330,10.1,62.9,4.2,DOST PH
dost-41,"Bread, raisin",N/A,295,9.4,53.9,4.6,DOST PH
dost-42,"Bread, rye",N/A,304,12.1,56,3.5,DOST PH
dost-43,"Bread, sweet roll",Ensaymada,326,8.6,61.6,5,DOST PH
dost-44,"Bread, sweet roll w/ mung bean filling","Ensaymada, may munggo",307,9.6,62.5,2.1,DOST PH
dost-45,"Bread, toasted","Toast/Tinapay, tostado",349,11.2,64.2,5.3,DOST PH
dost-46,"Bread, white, loaf",American loaf/Pan Amerikano,329,9.7,61.1,5.1,DOST PH
dost-47,Bunuelos,N/A,497,9.5,36.4,34.8,DOST PH
dost-48,"Cake, angel food",N/A,262,7.2,57.7,0.3,DOST PH
dost-49,"Cake, banana",N/A,331,5.4,47.2,13.4,DOST PH
dost-50,"Cake, butter",N/A,399,2.8,51,20.4,DOST PH
dost-51,"Cake, cheese cupcake",N/A,410,5.6,60,16.4,DOST PH
dost-52,"Cake, chiffon",N/A,332,7.2,49.8,11.6,DOST PH
dost-53,"Cake, chocolate",N/A,373,5.6,59.3,12.6,DOST PH
dost-54,"Cake, cream-filled roll",N/A,366,9.2,45.6,16.3,DOST PH
dost-55,"Cake, fruit",N/A,365,5,53.4,14.6,DOST PH
dost-56,"Cake, jelly roll",Pianono,326,5.3,69.9,2.8,DOST PH
dost-57,"Cake, kababayan",N/A,361,6.3,61.6,9.9,DOST PH
dost-58,"Cake, mamon",N/A,368,5.4,62.6,10.7,DOST PH
dost-59,"Cake, mamon, toasted",N/A,416,10.4,78.5,6.7,DOST PH
dost-60,"Cake, marshmallow roll",N/A,338,6.5,66.4,5.1,DOST PH
dost-61,"Cake, mocha roll",N/A,353,6.7,61.2,9,DOST PH
dost-62,"Cake, pineapple roll",N/A,255,3.5,54.5,2.5,DOST PH
dost-63,"Cake, sponge",N/A,306,8.2,56.3,5.3,DOST PH
dost-64,"Chips, cheese flvr",N/A,489,7.2,60.7,24.1,DOST PH
dost-65,"Chips, corn, bbq flvr",N/A,535,6.5,58.1,30.7,DOST PH
dost-66,"Chips, corn, nacho cheese flvr",N/A,528,7.5,57.1,30,DOST PH
dost-67,"Chips, corn, natural flvr",N/A,527,5.9,60.3,29.1,DOST PH
dost-68,"Chips, corn-potato based, cheese flvr",N/A,540,3.1,56.8,33.4,DOST PH
dost-69,"Chips, corn, taco & bbq flvr",N/A,527,4.2,62.4,29,DOST PH
dost-70,"Chips, corn, taco flvr",N/A,515,6.8,60.2,27.4,DOST PH
dost-71,"Chips, fish crackers",N/A,456,5,71.7,16.6,DOST PH
dost-72,"Chips, fish kroepeck",N/A,502,4,60.8,27,DOST PH
dost-73,"Chips, prawn crackers",N/A,442,6.8,74.2,13.1,DOST PH
dost-74,"Chips, prawn crackers, flvrd",N/A,543,3.9,57.7,33,DOST PH
dost-75,"Chips, shrimp crackers",N/A,462,6,68.1,18.4,DOST PH
dost-76,"Chips, shrimp kroepeck",N/A,493,7.3,61.1,24.4,DOST PH
dost-77,"Chips, squid crackers",N/A,434,7.4,73.1,12.4,DOST PH
dost-78,"Chips, sticks, onion flvr",N/A,514,5.4,62,27.2,DOST PH
dost-79,"Chips, tortilla, bbq flvr",N/A,489,7.2,62.7,23.3,DOST PH
dost-80,"Chips, tortilla, nacho cheese flvr",N/A,496,7.4,64.4,23.2,DOST PH
dost-81,"Cookies, apas",N/A,388,5.4,90.4,0.5,DOST PH
dost-82,"Cookies, arrowroot",Uraro/Araro cookies,417,1.1,83.9,8.5,DOST PH
dost-83,"Cookies, assorted",N/A,442,6.2,78.9,11.3,DOST PH
dost-84,"Cookies, brownies",N/A,417,7.4,59.1,16.8,DOST PH
dost-85,"Cookies, butter",N/A,508,8.3,64.5,24.1,DOST PH
dost-86,"Cookies, camachili",N/A,443,7.8,75.6,12.2,DOST PH
dost-87,"Cookies, gem",Iced gem cookies,426,11,73.6,9.7,DOST PH
dost-88,"Cookies, jacobina special",N/A,449,7,75.4,13.3,DOST PH
dost-89,"Cookies, lady finger",Brohas,388,8.6,73.7,6.5,DOST PH
dost-90,"Cookies, marie",N/A,421,8.1,77.1,8.9,DOST PH
dost-91,"Cookies, ogoy-ogoy",N/A,441,8.3,75.3,11.8,DOST PH
dost-92,"Cookies, otap",N/A,462,10.1,73.3,14.3,DOST PH
dost-93,"Cookies, pasencia",Pacencia/Paciencia,397,6.9,84.9,3.3,DOST PH
dost-94,"Cookies, pili nut",N/A,532,6.6,62.6,28.3,DOST PH
dost-95,"Cookies, pilipit",N/A,470,6.7,72.6,17,DOST PH
dost-96,"Cookies, polvoron",N/A,478,5.2,71,19.2,DOST PH
dost-97,"Cookies, sandwich type, choc-filled","Biskwit, may palaman na tsokolate",515,5.7,67.1,24.9,DOST PH
dost-98,"Cookies, sandwich type, cream-filled",N/A,472,5.9,71.7,18,DOST PH
dost-99,"Cookies, vanilla wafer, choc-coated",N/A,510,5.4,67.7,24.2,DOST PH
dost-100,"Cookies, wafer",N/A,505,4.6,70,22.9,DOST PH
dost-101,"Corn flakes, enr",N/A,387,8.2,87.2,0.6,DOST PH
dost-102,Corn pudding,Maja blanca,149,1.3,33.4,1.1,DOST PH
dost-103,"Corn pudding, w/ grtd coconut topping","Maja blanca, may niyog",187,1,42.6,1.4,DOST PH
dost-104,"Corn pudding, maja, yellow","Maja, mais",127,1.1,27.6,1.3,DOST PH
dost-105,"Corn pudding, maja, yellow w/ grtd coconut topping","Maja, mais, may niyog",151,1.8,32.9,1.3,DOST PH
dost-106,"Corn, fried, seasoned",Kornik,483,8.5,63.2,21.8,DOST PH
dost-107,"Corn, whole kernel, cnd","Mais butil, de lata",70,1.3,15.4,0.4,DOST PH
dost-108,Cornstarch,N/A,370,0.3,91.5,0.3,DOST PH
dost-109,"Cracker, egg",Galyetas de patatas,422,15,72.3,8.1,DOST PH
dost-110,"Cracker, graham, honey-flvr",N/A,423,8,79.5,8.1,DOST PH
dost-111,"Cracker, plain",N/A,482,7.5,68.7,19.7,DOST PH
dost-112,"Cracker, salted",N/A,480,9.6,65.5,19.9,DOST PH
dost-113,"Cracker, salted, round",N/A,505,7.2,63.4,24.7,DOST PH
dost-114,Cream puff,N/A,293,5.4,50.9,7.5,DOST PH
dost-115,"Curls, bbq flvr",N/A,455,7.8,71.1,15.5,DOST PH
dost-116,"Curls, cheese flvr",N/A,447,7.6,69.5,15.4,DOST PH
dost-117,"Curls, prawn flvr",N/A,483,7.2,68,20.2,DOST PH
dost-118,"Curls, shrimp flvr",N/A,419,6.6,77.9,9,DOST PH
dost-119,"Doughnut, fried, w/ sugar","Donut, prito, may asukal",431,7.5,49.2,22.7,DOST PH
dost-120,Gurgurya,N/A,515,6.7,62.4,26.5,DOST PH
dost-121,Hominy,Binatog,126,3,25.4,1.4,DOST PH
dost-122,Hopyang baboy,N/A,414,5,69.1,13.1,DOST PH
dost-123,Hopyang Hapon,N/A,352,8.7,66.4,5.7,DOST PH
dost-124,Hopyang munggo,N/A,383,6.5,62.3,12,DOST PH
dost-125,Karyoka,Carioca,359,4.2,58.2,12.1,DOST PH
dost-126,"Lohuwa, peanut",N/A,500,16.9,50.6,25.6,DOST PH
dost-127,"Lohuwa, rice",N/A,415,3.4,81.4,8.4,DOST PH
dost-128,"Lohuwa, sesame seed",N/A,473,10.7,64.5,19.1,DOST PH
dost-129,"Noodles, mung bean starch",Sotanghon,345,0.2,85.5,0.2,DOST PH
dost-130,"Noodles, mung bean starch, boiled","Sotanghon, nilaga",78,0,19.3,0.1,DOST PH
dost-131,"Noodles, rice, fideos",Fideos,357,9.6,78.7,0.4,DOST PH
dost-132,"Noodles, rice",Bihon,353,2.7,84.5,0.5,DOST PH
dost-133,"Noodles, rice, boiled","Bihon, nilaga",115,0.5,26.9,0.6,DOST PH
dost-134,"Noodles, wheat, canton, dry",Canton,487,12.8,56.8,23.2,DOST PH
dost-135,"Noodles, wheat, mami, fresh","Mami, sariwa",73,6.8,10.9,0.2,DOST PH
dost-136,"Noodles, wheat, inst, w/ flvr","Mami, inst, may pampalasa",433,10.4,57.1,18.1,DOST PH
dost-137,"Noodles, wheat, inst, w/ flvr, fortified","Mami, inst, may pampalasa,fortified",465,9.2,56.8,22.3,DOST PH
dost-138,"Noodles, wheat, thin",Misua/Miswa,344,12.2,73,0.3,DOST PH
dost-139,"Noodles, wheat, thin, boiled","Misua/Miswa, nilaga",100,0.9,23.8,0.1,DOST PH
dost-140,"Noodles, wheat, miki, dry","Miki, tuyo",472,12.4,55.3,22.4,DOST PH
dost-141,"Noodles, wheat, miki, dry, boiled","Miki, tuyo, nilaga",110,1.7,19.2,2.9,DOST PH
dost-142,"Oatmeal, instant",N/A,394,10,77.9,4.7,DOST PH
dost-143,"Oats, quick-cooking",N/A,423,11.4,73.8,9.1,DOST PH
dost-144,"Oats, quick-cooking, ckd",N/A,60,1.6,11,1.1,DOST PH
dost-145,Pancake,Hotcake,269,8.4,41.8,7.6,DOST PH
dost-146,"Pasta, macaroni",N/A,353,14.3,73.5,0.2,DOST PH
dost-147,"Pasta, spaghetti",N/A,361,12.4,75.4,1.1,DOST PH
dost-148,"Pasta, spaghetti, boiled",N/A,156,5.5,33.3,0.1,DOST PH
dost-149,"Popcorn and peanuts, sweetn",N/A,447,5.1,77.8,12.8,DOST PH
dost-150,"Popcorn, salted",N/A,471,6.7,69.2,18.6,DOST PH
dost-151,"Popcorn, sweetn",N/A,443,4,81.9,11,DOST PH
dost-152,"Pretzel, choc-coated",N/A,475,8.1,68.8,18.6,DOST PH
dost-153,"Pretzel, sweetn",N/A,442,8.5,76.9,11.1,DOST PH
dost-154,"Pudding, pineapple",N/A,268,4.7,58.5,1.7,DOST PH
dost-155,"Pudding, raisin",N/A,221,8.1,40.5,2.9,DOST PH
dost-156,"Pudding, vanilla",N/A,286,6.2,61.8,1.5,DOST PH
dost-157,"Puffs, bbq flvr",N/A,445,7.5,70.9,14.6,DOST PH
dost-158,"Puffs, cheese flvr",N/A,503,6,60,26.5,DOST PH
dost-159,"Puffs, chicken flvr",N/A,449,6.8,75.2,13.4,DOST PH
dost-160,"Puffs, spiced",N/A,418,7.4,77,8.9,DOST PH
dost-161,"Rice cake (glutinous), bibingka","Bibingka, malagkit",256,2.8,59,1,DOST PH
dost-162,"Rice cake (glutinous), biko",Biko/Sinukmani,252,2.2,58.7,0.9,DOST PH
dost-163,"Rice cake (glutinous), biko, w/ grtd coconut topping","Biko/Sinukmani, may niyog",246,3.3,54.7,1.6,DOST PH
dost-164,"Rice cake (glutinous), biko, w/ purple rice","Biko, may pirurutong",227,2.6,53.2,0.4,DOST PH
dost-165,"Rice cake (glutinous), Chinese, tikoy",Tikoy,250,2.5,59.4,0.3,DOST PH
dost-166,"Rice cake (glutinous), Chinese, tikoy, w/ peanut","Tikoy, may mani",247,6.4,51.4,1.8,DOST PH
dost-167,"Rice cake, bibingka",Bibingkang galapong,234,3.6,52.9,0.9,DOST PH
dost-168,"Rice cake, bibingka, w/ cheese & coconut topping","Bibingkang galapong, may keso at  niyog",223,2.8,47.2,2.6,DOST PH
dost-169,"Rice cake, puto bumbong, purple",Puto bumbong,252,3.5,56.5,1.3,DOST PH
dost-170,"Rice cake, puto, brown","Puto, brown",206,2,49.3,0.1,DOST PH
dost-171,"Rice cake, puto, white",Puto puti,214,2.8,49.9,0.3,DOST PH
dost-172,"Rice cake, puto, white, w/ grtd coconut topping","Puto puti, may niyog",209,2.7,47.1,1.1,DOST PH
dost-173,"Rice cake, cuchinta",Cuchinta/Kutsinta,166,1.4,38.4,0.8,DOST PH
dost-174,"Rice cake, cuchinta, w/ grtd coconut topping","Cuchinta/Kutsinta, may niyog",165,1.6,32.4,3.2,DOST PH
dost-175,Rice flour,"Arina, bigas",358,7.6,81.3,0.3,DOST PH
dost-176,"Rice flour prep, tamales",Tamales,101,1.3,21.8,0.9,DOST PH
dost-177,"Rice gruel, thin","Lugaw, malabnaw",71,1.4,13.9,1.1,DOST PH
dost-178,"Rice prep (glutinous), butse, w/ mung bean filling","Butse/Buchi, munggo",329,6.4,48.9,12,DOST PH
dost-179,"Rice prep (glutinous), butse, w/ sweet potato filling","Butse/Buchi, kamote",310,5.6,53.5,8.2,DOST PH
dost-180,"Rice prep (glutinous), kalamay, w/ coconut curd topping","Kalamay, may latik",208,2.7,48.5,0.4,DOST PH
dost-181,"Rice prep (glutinous), kalamay, w/ yam","Kalamay, ube",178,2.2,41.7,0.3,DOST PH
dost-182,"Rice prep (glutinous), palitaw",Palitaw,206,2.6,42.5,2.8,DOST PH
dost-183,"Rice prep (glutinous), palitaw, w/ grtd  coconut & sugar","Palitaw, may niyog at asukal",213,2.6,40.5,4.5,DOST PH
dost-184,"Rice prep (glutinous), sapin-sapin",Sapin-sapin,129,1.1,30.3,0.4,DOST PH
dost-185,"Rice prep (glutinous), suman sa ibos",Suman sa ibos,171,3.1,38,0.7,DOST PH
dost-186,"Rice prep (glutinous), suman, lye-treated",Suman sa lihiya,191,3.2,43.6,0.4,DOST PH
dost-187,"Rice prep (glutinous), suman, w/ grtd coconut topping","Suman maruwekos, may niyog",211,2.6,44.8,2.4,DOST PH
dost-188,"Rice prep (glutinous), tupig",Tupig,300,3.6,65.6,2.6,DOST PH
dost-189,"Rice prep, espasol",Espasol,312,4,65.8,3.6,DOST PH
dost-190,"Rice water, ckd, thin","Am, malabnaw",17,0.1,3.8,0.2,DOST PH
dost-191,"Rice, crispies",N/A,373,3,88.8,0.6,DOST PH
dost-192,"Rice-bread prep, toasted, puto seko",Puto seko,388,6,87,1.8,DOST PH
dost-193,"Rice-bread prep, toasted, puto seko, w/ grtd coconut","Puto seko, may niyog",402,4.4,83.8,5.5,DOST PH
dost-194,"Spring roll wrapper, plain",Balat ng lumpia/Lumpia wrapper,316,10.6,67.2,0.5,DOST PH
dost-195,"Wheat flour, all-purpose","Arina, trigo, all-purpose",352,12.6,73.7,0.8,DOST PH
dost-196,"Wheat flour, all-purpose, enr, bleached","Arina trigo, all-purpose, enr, pinaputi",377,11,75.2,3.6,DOST PH
dost-197,"Wheat flour, cake flour, enr, bleached","Arina trigo, cake, enr, pinaputi",370,8.9,79.7,1.7,DOST PH
dost-198,"Instant noodles, chicken flvr, raw",-,429,10.5,57.3,17.5,DOST PH
dost-199,"Instant noodles, chicken flvr, ckd",-,48,1.3,6,2.1,DOST PH
dost-200,Cassava,Kamoteng kahoy/Balinghoy,145,0.6,35.3,0.2,DOST PH
dost-201,"Cassava, boiled","Kamoteng kahoy/Balinghoy, nilaga",111,0.4,27.1,0.1,DOST PH
dost-202,"Cassava, yellow","Kamoteng kahoy/Balinghoy, dilaw",155,0.7,37.7,0.2,DOST PH
dost-203,East Indian arrowroot,Yabyaban,144,3.1,32.6,0.1,DOST PH
dost-204,"East Indian arrowroot, boiled","Yabyaban, nilaga",88,3.1,18.5,0.2,DOST PH
dost-205,Palauan,Galiang/Swamp taro,153,0.5,37.3,0.2,DOST PH
dost-206,Potato,Patatas,78,2.4,16.8,0.1,DOST PH
dost-207,"Potato, boiled","Patatas, nilaga",63,1.7,13.7,0.1,DOST PH
dost-208,"Sweet potato, purple","Kamote, murado",125,0.6,29.8,0.4,DOST PH
dost-209,"Sweet potato, purple, boiled","Kamote, murado, nilaga",122,0.6,29.5,0.2,DOST PH
dost-210,"Sweet potato, white","Kamote, puti",105,0.7,24.3,0.5,DOST PH
dost-211,"Sweet potato, white, boiled","Kamote, puti, nilaga",126,0.4,29.3,0.8,DOST PH
dost-212,"Sweet potato, yellow","Kamote, dilaw",135,1.1,31.8,0.4,DOST PH
dost-213,"Sweet potato, yellow, boiled","Kamote, dilaw, nilaga",128,0.5,30.7,0.3,DOST PH
dost-214,Taro,Gabi,141,2.3,32.6,0.2,DOST PH
dost-215,"Taro, boiled","Gabi, nilaga",105,1.5,24.4,0.1,DOST PH
dost-216,White spot arum,Pongapong,61,3.1,11.7,0.2,DOST PH
dost-217,"Yam, Luzon",Pakit/Kamangeg,99,2.5,22.1,0.1,DOST PH
dost-218,"Yam, nami",Nami/Asiatic bitter yam,105,2.3,23.3,0.3,DOST PH
dost-219,"Yam, purple",Ubi/Ube,97,1.7,22.2,0.2,DOST PH
dost-220,"Yam, purple, boiled","Ubi/Ube, nilaga",77,0.7,18.2,0.1,DOST PH
dost-221,"Yam, spiny",Tugi/Lesser yam,141,1,28.2,2.7,DOST PH
dost-222,"Yam, spiny, boiled","Tugi/Lesser yam, nilaga",69,0.4,14.1,1.2,DOST PH
dost-223,Yautia,Gabing Cebu,122,0.8,29.4,0.1,DOST PH
dost-224,Arrowroot starch,Uraro starch,351,0.1,86.4,0.5,DOST PH
dost-225,"Cassava cake, bibingka","Kamoteng kahoy, bibingka",181,0.4,44.1,0.3,DOST PH
dost-226,Cassava flour,"Kamoteng kahoy, arina",362,1.1,87.8,0.7,DOST PH
dost-227,Cassava fritter,"Kamoteng kahoy, maruya",360,0.7,66.7,10,DOST PH
dost-228,Cassava pudding,"Kamoteng kahoy, budin",203,1.2,48.4,0.5,DOST PH
dost-229,"Cassava, mashed, w/ sugar & marg","Kamoteng kahoy, linupak",183,0.4,42.4,1.3,DOST PH
dost-230,"Cassava, suman","Kamoteng kahoy, suman",210,0.5,48.9,1.4,DOST PH
dost-231,East Indian arrowroot starch,Yabyaban starch,348,0.1,85.8,0.5,DOST PH
dost-232,"Potato chips, cheese flvr",N/A,556,6.2,51.8,36,DOST PH
dost-233,"Potato, French-fried",French fries,328,3.7,40.5,16.8,DOST PH
dost-234,Tapioca starch ball,Sago/Tapioca pearl,341,0.4,82.4,1.1,DOST PH
dost-235,"Tapioca starch ball, boiled","Sago, nilaga/Tapioca pearl, boiled",83,0,20.3,0.2,DOST PH
dost-236,"Sweet potato, w/ sugar, fried",Kamote cue,239,1.1,43.1,6.9,DOST PH
dost-237,"Yam, nami, brined","Nami, inasnan",66,1,15,0.2,DOST PH
dost-238,"Yam, nami, dried","Nami, tuyo",351,6.6,80.3,0.4,DOST PH
dost-239,"Yam, purple, pudding","Ubi, maja",187,1.2,43.8,0.8,DOST PH
dost-240,"Yam, purple, pudding,w/ grtd coconut topping","Ubi, maja, may niyog",191,1.7,43.4,1.2,DOST PH
dost-241,"Yacon tuber, raw",Peruvian ground apple,35,0.4,8.1,0.1,DOST PH
dost-242,"Sweet potato, orange",-,121,1.1,28.4,0.3,DOST PH
dost-243,"Cashew nut, roasted","Kasuy, binusa",603,19.2,24.8,47.4,DOST PH
dost-244,"Chestnut, roasted","Kastanyas, binusa",256,5,56.4,1.2,DOST PH
dost-245,"Chickpea, dried","Garbansos/Garbanzo, tuyo",377,19.2,61.2,6.2,DOST PH
dost-246,"Chickpea, dried, boiled","Garbansos/Garbanzo, tuyo, nilaga",198,5.7,39.2,2,DOST PH
dost-247,"Coconut meat, mature","Niyog, magulang",319,3.9,17.2,26.1,DOST PH
dost-248,"Coconut meat, very young","Buko, malauhog",42,0.8,6.8,1.3,DOST PH
dost-249,"Coconut meat, young","Buko, malakanin",102,1.4,12.1,5.3,DOST PH
dost-250,Coconut sport,Makapuno,226,2.4,14.5,17.6,DOST PH
dost-251,"Cowpea seed, dried","Paayap buto, tuyo",358,20.4,65.8,1.5,DOST PH
dost-252,"Davao wonder bean seed, dried","Mecan pea buto, tuyo",351,23.4,58.3,2.7,DOST PH
dost-253,"Coastal jack-bean seed, dried","Pataning-dagat buto, tuyo",364,24.1,60.7,2.8,DOST PH
dost-254,"Coastal jack-bean seed, dried, boiled","Pataning-dagat buto, tuyo, nilaga",170,9.6,30.3,1.1,DOST PH
dost-255,"Java olive seed, dried","Kalumpang buto, tuyo",603,15.4,34.1,45,DOST PH
dost-256,"Kaatoan bangkal  seed, dried",N/A,339,14.4,69.5,0.4,DOST PH
dost-257,"Kidney bean seed, black, dried","Abitsuwelas buto, itim, tuyo",374,20.2,69.1,1.9,DOST PH
dost-258,"Kidney bean seed, black, dried, boiled","Abitsuwelas buto, itim, tuyo, nilaga",117,3.9,24.1,0.6,DOST PH
dost-259,"Kidney bean seed, red, dried","Abitsuwelas buto, pula, tuyo",348,19.3,64.2,1.5,DOST PH
dost-260,"Kidney bean seed, red, dried, boiled","Abitsuwelas buto, pula, tuyo, nilaga",138,7.9,24.6,0.9,DOST PH
dost-261,"Kidney bean seed, white, dried","Abitsuwelas buto, puti, tuyo",354,18.8,67.1,1.1,DOST PH
dost-262,"Kidney bean seed, white, dried, boiled","Abitsuwelas buto, puti, tuyo, nilaga",142,6.5,27.3,0.7,DOST PH
dost-263,"Lima bean seed, dried","Patani buto, tuyo",348,19.8,64.9,1,DOST PH
dost-264,"Marang seed, dried","Johey oak, seed",305,7.4,40.7,12.5,DOST PH
dost-265,"Marang seed, dried, boiled","Johey oak, seed, boiled",238,5.7,36.6,7.6,DOST PH
dost-266,"Mung bean seed, green, dried","Munggo buto, berde, tuyo",348,23.2,60.1,1.6,DOST PH
dost-267,"Mung bean seed, green, dried, boiled","Munggo buto, berde, tuyo, nilaga",155,11,27.1,0.3,DOST PH
dost-268,"Mung bean seed, red, dried","Munggo buto, pula, tuyo",347,22.2,62.2,1,DOST PH
dost-269,"Mung bean seed, red, dried, boiled","Munggo buto, pula, tuyo, nilaga",150,6.9,28.9,0.7,DOST PH
dost-270,"Mung bean seed, yellow, dried","Munggo buto, dilaw, tuyo",365,23.5,64.5,1.4,DOST PH
dost-271,"Mung bean seed, yellow, dried, boiled","Munggo buto, dilaw, tuyo, nilaga",116,7.2,21.1,0.3,DOST PH
dost-272,"Negro coffee seed, dried","Balatong aso buto, tuyo/Coffee senna seed, dried",373,17.5,69.8,2.6,DOST PH
dost-273,Peanut w/ shell,"Mani, may balat",401,17.4,22.9,26.6,DOST PH
dost-274,"Peanut w/ shell, boiled","Mani, may balat, nilaga",315,13,15.3,22.4,DOST PH
dost-275,"Peanut w/ skin, roasted","Mani, may balok, binusa",621,32.1,9.1,50.7,DOST PH
dost-276,Peanut w/o skin,"Mani, walang balok",617,25.8,17.1,49.5,DOST PH
dost-277,"Peanut w/o skin, roasted","Mani, walang balok, binusa",629,33.2,7.6,51.8,DOST PH
dost-278,"Pigeon pea seed, dried","Kadyos buto, tuyo",348,21.2,63.2,1.2,DOST PH
dost-279,"Pigeon pea seed, dried, boiled","Kadyos buto, tuyo, nilaga",125,5.7,24.3,0.6,DOST PH
dost-280,Pili nut,Pili bunga,699,14.2,6.4,68.5,DOST PH
dost-281,"Rice bean seed, dried","Tapilan buto, tuyo",356,18.4,63.7,3.1,DOST PH
dost-282,"Sesame seed, dried","Linga, tuyo",642,25.1,15.1,53.5,DOST PH
dost-283,"Soybean seed, dried","Utaw buto, tuyo",442,35.8,35.9,17.2,DOST PH
dost-284,"Soybean seed, black, dried","Utaw buto, itim, tuyo",451,36.6,31.6,19.8,DOST PH
dost-285,"Soybean seed, black, dried, boiled","Utaw buto, itim, tuyo, nilaga",241,15.3,31.2,6.1,DOST PH
dost-286,"Soybean seed, yellow, dried","Utaw buto, dilaw, tuyo",456,35.8,34.2,19.5,DOST PH
dost-287,"Soybean seed, yellow, dried, boiled","Utaw buto, dilaw, tuyo, nilaga",267,12.4,38.9,6.9,DOST PH
dost-288,"String/Yard long bean seed, dried","Sitaw buto, tuyo",371,30.7,56.8,2.3,DOST PH
dost-289,"Velvet bean seed, dried",N/A,378,28.2,55.8,4.7,DOST PH
dost-290,"Chickpea, cnd","Garbansos, de lata",132,7.4,20.1,2.4,DOST PH
dost-291,"Coconut chip, toasted, sweetn",N/A,580,4.2,56.5,37.5,DOST PH
dost-292,"Coconut, cream curd",Latik,620,13.2,24.8,52,DOST PH
dost-293,"Green pea, dried, fried & seasoned","Gisantes, tuyo, prito, tinimpla",468,19,52.4,20.3,DOST PH
dost-294,"Green pea, in brine, cnd","Gisantes, de lata",118,6.9,20.1,1.1,DOST PH
dost-295,"Green pea-corn-peanut mixture, fried",N/A,511,19.8,48.4,26.5,DOST PH
dost-296,"Lima bean, fried & seasoned","Patani, prito, may timpla",500,24.4,42.2,26,DOST PH
dost-297,Peanut butter,N/A,616,25.4,26.4,45.4,DOST PH
dost-298,"Peanut butter, choc flvr",N/A,631,17.2,32,48.2,DOST PH
dost-299,Peanut cracker,N/A,541,23,42.1,31.2,DOST PH
dost-300,"Soybean cheese, salted",Tahure,117,11.4,4,6.2,DOST PH
dost-301,"Soybean seed, black, fermented",Tausi,143,12,7.6,7.2,DOST PH
dost-302,"Soybean cheese, soft curd",Tofu,89,8.1,2,5.4,DOST PH
dost-303,"Soybean cheese, hard curd",Tokwa,123,12.9,2,7,DOST PH
dost-304,Soybean pudding/ Geerlig&#39;s cheese,Taho/Tahu,34,2.9,2.4,1.4,DOST PH
dost-305,Soybean pudding/Geerlig&#39;s cheese w/ syrup & tapioca starch ball,"Taho/Tahu, may arnibal at sago",62,2.2,13.1,0.1,DOST PH
dost-306,"Soybean paste, miso",Miso,144,13,15.2,3.5,DOST PH
dost-307,"Soybean seed, yellow, cnd, drnd","Utaw, dilaw, de lata",138,11.8,9.4,5.9,DOST PH
dost-308,"Watermelon seed, dried, salted",Butong pakwan,562,40.2,3.1,43.2,DOST PH
dost-309,American black nightshade lvs,Amti dahon,56,4.9,7.9,0.6,DOST PH
dost-310,Apat-apat fern lvs,Four leaves clover/Kaya-kayapuan,131,7.6,24.2,0.4,DOST PH
dost-311,Aragan lvs,Ricefield waternymph,29,1.2,5.4,0.3,DOST PH
dost-312,Asystasia lvs & stems,Asistasia/Philippine violet,61,3.6,9.6,0.9,DOST PH
dost-313,Aurora lvs & stems,Three-lobed morning glory,108,2.8,19.9,1.9,DOST PH
dost-314,Bago lvs,Spanish joint-fir lvs,91,6.6,12.8,1.5,DOST PH
dost-315,"Bago lvs, boiled","Spanish joint-fir lvs, boiled",42,3,6.5,0.4,DOST PH
dost-316,"Bago bagin fruit, boiled","Spanish joint-fir, fruit, boiled",159,5.8,33.1,0.4,DOST PH
dost-317,Bamboo shoot,Labong,28,1.9,4.1,0.4,DOST PH
dost-318,"Bamboo shoot, boiled","Labong, nilaga",26,1.2,4.5,0.3,DOST PH
dost-319,Banana stem,Ubod ng saging/Banana pith,16,0.8,3,0.1,DOST PH
dost-320,"Banana heart, butuan","Puso, saging, butuan",39,1.6,7.2,0.4,DOST PH
dost-321,"Banana heart, butuan, boiled","Puso, saging, butuan, nilaga",18,0.9,3.2,0.2,DOST PH
dost-322,Bayuno fruit,Binjai,74,3,13.9,0.7,DOST PH
dost-323,Beet,Remolacha,41,1.7,8,0.2,DOST PH
dost-324,"Beet, boiled","Remolacha, nilaga",45,1.9,9.1,0.1,DOST PH
dost-325,Bitter melon/gourd fruit,Ampalaya bunga,23,1,4.2,0.2,DOST PH
dost-326,"Bitter melon/gourd fruit, boiled","Ampalaya bunga, nilaga",19,0.4,3.8,0.2,DOST PH
dost-327,Bitter melon/gourd lvs,Ampalaya dahon,34,4.2,3,0.6,DOST PH
dost-328,"Bitter melon/gourd lvs, boiled","Ampalaya dahon, nilaga",50,2.2,9,0.6,DOST PH
