id,name,altName,caloriesPer100g,proteinPer100g,carbsPer100g,fatPer100g,source
dost-1352,Coconut water,"Niyog, tubig",22,0,5.1,0.2,DOST PH
dost-1353,"Coffee, creamer & sugar (3 in 1)",N/A,392,3.6,92.5,0.8,DOST PH
dost-1354,"Coffee, inst, 100% pure",N/A,329,21.6,60.3,0.1,DOST PH
dost-1355,"Coffee, roasted",N/A,406,15.2,70.4,7.1,DOST PH
dost-1356,"Coffee, soybean, w/ seed coat",N/A,442,39,32.9,17.1,DOST PH
dost-1357,"Coffee, soybean, w/o seed coat",N/A,492,39.5,31.8,23,DOST PH
dost-1358,"Fruit jce drnk conc, calamansi",N/A,239,0.2,58.3,0.6,DOST PH
dost-1359,"Fruit jce drnk conc, grape",N/A,257,0.2,63.2,0.4,DOST PH
dost-1360,"Fruit jce drnk conc, grapefruit",N/A,230,0,54.6,1.3,DOST PH
dost-1361,"Fruit jce drnk conc, guyabano",N/A,109,0.3,26.3,0.3,DOST PH
dost-1362,"Fruit jce drnk conc, mango",N/A,75,0.2,18.2,0.2,DOST PH
dost-1363,"Fruit jce drnk conc, orange",N/A,244,0,59.5,0.7,DOST PH
dost-1364,"Fruit jce drnk, apple, ttb",N/A,50,0.1,12,0.2,DOST PH
dost-1365,"Fruit jce drnk, citrus cooler, ttb",N/A,47,0.1,11.2,0.2,DOST PH
dost-1366,"Fruit jce drnk, grape, ttpk",N/A,45,0.2,10.8,0.1,DOST PH
dost-1367,"Fruit jce drnk, guava, ttpk",N/A,46,0.1,10.7,0.3,DOST PH
dost-1368,"Fruit jce drnk, guyabano, btl",N/A,75,0.1,16.3,1,DOST PH
dost-1369,"Fruit jce drnk, mango, btl",N/A,57,0.2,13.7,0.2,DOST PH
dost-1370,"Fruit jce drnk, mango, polyfoil",N/A,49,0.1,11.6,0.2,DOST PH
dost-1371,"Fruit jce drnk, mango, ttb",N/A,49,0.1,11.8,0.2,DOST PH
dost-1372,"Fruit jce drnk, orange & pineapple, ttb",N/A,47,0.1,11.2,0.2,DOST PH
dost-1373,"Fruit jce drnk, orange, btl",N/A,43,0.2,10.1,0.2,DOST PH
dost-1374,"Fruit jce drnk, orange, polyfoil",N/A,49,0.1,11.8,0.2,DOST PH
dost-1375,"Fruit jce drnk, orange, ttb",N/A,46,0.1,10.9,0.2,DOST PH
dost-1376,"Fruit jce drnk, pineapple & lychee, ttb",N/A,51,0.2,11.3,0.5,DOST PH
dost-1377,"Fruit jce drnk, pineapple & orange, cnd",N/A,48,0.1,11.6,0.1,DOST PH
dost-1378,"Fruit jce drnk, pineapple, ttb",N/A,46,0.2,10.6,0.3,DOST PH
dost-1379,"Fruit jce drnk, strawberry, polyfoil",N/A,50,0,12,0.2,DOST PH
dost-1380,"Fruit jce drnk, sugarcane, ttb",N/A,51,0.2,12.2,0.1,DOST PH
dost-1381,"Fruit-flvr drnk conc, orange",N/A,237,0.2,58,0.5,DOST PH
dost-1382,"Fruit-flvr drnk conc, strawberry",N/A,272,0.1,66.4,0.7,DOST PH
dost-1383,"Fruit-flvr drnk, pwdr, orange",N/A,407,0,96.8,2.2,DOST PH
dost-1384,"Juice, apple, cnd",N/A,65,0.1,15.7,0.2,DOST PH
dost-1385,"Juice, calamansi (nectar)",N/A,150,0.1,36.4,0.4,DOST PH
dost-1386,"Juice, mango",N/A,56,0.4,12.1,0.7,DOST PH
dost-1387,"Juice, orange, unsweetn, cnd",N/A,46,0.7,10.2,0.3,DOST PH
dost-1388,"Juice, pineapple & grapefruit, cnd",N/A,63,1.2,13.4,0.5,DOST PH
dost-1389,"Juice, pineapple, cnd",N/A,62,0,15.3,0.1,DOST PH
dost-1390,"Juice, sugarcane","Katas, tubo",50,0.1,11.9,0.2,DOST PH
dost-1391,"Juice, tomato, cnd",N/A,25,0.8,4.9,0.2,DOST PH
dost-1392,"Lemon tea drink, ttb",N/A,51,0,12,0.3,DOST PH
dost-1393,Sago in light syrup,Sago palamig,73,0,15.5,1.2,DOST PH
dost-1394,"Softdrink, cola",N/A,41,0,9.9,0.1,DOST PH
dost-1395,"Softdrink, orange flvr",N/A,46,0,11.6,0,DOST PH
dost-1396,"Soy drink, pwdr, plain",N/A,449,21.8,59.6,13.7,DOST PH
dost-1397,"Soy drnk, pwdr, corn flvr",N/A,448,19.4,62,13.6,DOST PH
dost-1398,"Soy drnk, pwdr, pandan flvr",N/A,414,18.3,70.6,6.5,DOST PH
dost-1399,"Soybean milk drink, choc-flvr",N/A,76,2.2,16.1,0.3,DOST PH
dost-1400,Soybean milk drnk,N/A,51,2.6,8.3,0.8,DOST PH
dost-1401,"Tea lvs, dried","Tsaa dahon, tuyo",357,21.7,65.3,1,DOST PH
dost-1402,Young coconut (shredded) drnk,Buko palamig,39,0.2,9,0.2,DOST PH
dost-1403,Cheese pimiento sandwich,N/A,268,9.6,39.3,8,DOST PH
dost-1404,Cheese sandwich,N/A,302,11.2,50.3,6.2,DOST PH
dost-1405,Cheeseburger sandwich,N/A,250,11.2,30,9.5,DOST PH
dost-1406,"Steamed bun, mung bean filling","Siopao, munggo",279,6.7,56.4,2.9,DOST PH
dost-1407,"Steamed bun, pork filling","Siopao, baboy",294,9.2,39,11.2,DOST PH
dost-1408,Glutinous rice w/ mung bean & cocomilk,Ginataang munggo,130,1.8,24,3,DOST PH
dost-1409,Hamburger sandwich w/ coleslaw,N/A,246,12.1,30.5,8.4,DOST PH
dost-1410,"Hamburger sandwich, reg",N/A,265,14,30.1,9.9,DOST PH
dost-1411,Meat pie,Empanada,435,11.9,41.1,24.8,DOST PH
dost-1412,Meat roll,Mechado roll,313,10.4,44.4,10.4,DOST PH
dost-1413,Rice gruel w/ chicken,Arroz caldo,63,2,12.8,0.4,DOST PH
dost-1414,Rice gruel w/ choc & milk,"Champorado, may gatas",97,1.7,22,0.2,DOST PH
dost-1415,Rice gruel w/ tripe,"Lugaw, may goto",53,2,8.3,1.3,DOST PH
dost-1416,"Spaghetti, meat balls & tomato sce, cnd",N/A,83,4.8,13.8,1,DOST PH
dost-1417,"Spaghetti, Vienna sausage & tomato sce, cnd",N/A,86,2.9,14.8,1.7,DOST PH
dost-1418,Buko pie,N/A,266,4.4,45.9,7.2,DOST PH
dost-1419,Egg pie,N/A,228,9.6,40,3.5,DOST PH
dost-1420,"Halu-halo, cnd",N/A,242,2.3,57.4,0.3,DOST PH
dost-1421,"Halu-halo, w/ ice",N/A,82,1,18.7,0.3,DOST PH
dost-1422,Pineapple pie,N/A,279,1.1,67.9,0.3,DOST PH
dost-1423,Pizza pie,N/A,271,10.3,44.4,5.8,DOST PH
dost-1424,"Milk fish, w/ black beans, cnd","Bangus may tawsi, de lata",243,18.6,0,18.7,DOST PH
dost-1425,"Spring roll, crab, unckd","Lumpia, alimango, hindi luto",207,5.8,40.1,2.6,DOST PH
dost-1426,"Spring roll, fish, unckd","Lumpia, isda, hindi luto",185,5.9,40,0.2,DOST PH
dost-1427,"Spring roll, shrimp, unckd","Lumpia, hipon, hindi luto",200,6.3,43.2,0.2,DOST PH
dost-1428,"Beef & tomato spread, cnd",N/A,193,9.8,12.1,11.7,DOST PH
dost-1429,"Beef caldereta, cnd",N/A,284,13.3,1.6,24.9,DOST PH
dost-1430,"Beef callos, cnd",N/A,144,9.6,9.9,7.3,DOST PH
dost-1431,"Beef curry, cnd",N/A,165,9.5,6.6,11.2,DOST PH
dost-1432,"Beef hamburger w/ tomato sce, cnd",N/A,145,9.4,16.5,4.6,DOST PH
dost-1433,"Beef kare-kare, cnd",N/A,64,9,4.4,1.1,DOST PH
dost-1434,"Beef roll, mechado, cnd",N/A,140,11.6,3.8,8.7,DOST PH
dost-1435,"Beef roll, morcon, cnd",N/A,187,13.9,14.9,8,DOST PH
dost-1436,"Beef steak, cnd",N/A,161,9.6,4,11.8,DOST PH
dost-1437,"Beef stew, cnd",N/A,169,9.5,7.1,11.4,DOST PH
dost-1438,"Beef w/ gravy, cnd",N/A,101,12.1,0,5.8,DOST PH
dost-1439,"Beef w/ mushroom sce, cnd",N/A,103,13.3,4,3.7,DOST PH
dost-1440,"Beef w/chickpeas, cnd",N/A,95,6.3,10.6,3,DOST PH
dost-1441,"Beef, chili con carne, cnd",N/A,94,7.5,11.9,1.8,DOST PH
dost-1442,"Chicken stew, cnd",N/A,72,3.6,8.3,2.7,DOST PH
dost-1443,"Corned beef hash, cnd",N/A,104,8.4,10.7,3.1,DOST PH
dost-1444,"Duck meat, pato tim, cnd","Pato tim, de lata",134,11,2.8,8.7,DOST PH
dost-1445,"Meat ball & quail egg, sw & sr sce, cnd",N/A,207,9.8,12.4,13.1,DOST PH
dost-1446,"Pork & chicken adobo, cnd",N/A,189,14.5,0,14.6,DOST PH
dost-1447,"Pork adobo, cnd",N/A,277,10.3,3.1,24.8,DOST PH
dost-1448,"Pork adobo, w/ egg, cnd",N/A,261,13.4,6.3,20.2,DOST PH
dost-1449,"Pork afritada, cnd","Apritadang baboy, de lata",123,6.3,6.3,8.1,DOST PH
dost-1450,"Pork blood stew, cnd","Dinuguan baboy, de lata",155,14.8,0,10.6,DOST PH
dost-1451,"Pork humba, cnd",N/A,127,7.1,14,4.7,DOST PH
dost-1452,"Pork leg w/ mushroom sce, cnd",N/A,271,7.7,15.7,19.7,DOST PH
dost-1453,"Pork leg, mushroom & chestnut, cnd",N/A,228,12,0.8,19.6,DOST PH
dost-1454,"Pork leg, pinaksiw, cnd",N/A,188,13.1,6.6,12.1,DOST PH
dost-1455,"Pork pastel, cnd",N/A,147,8.8,4.6,10.4,DOST PH
dost-1456,"Pork w/ black beans, cnd","Baboy may tawsi, de lata",215,11.2,6.1,16.2,DOST PH
dost-1457,"Pork, roasted, pinaksiw, cnd","Lechon paksiw, de lata",214,12.8,6.4,15.2,DOST PH
dost-1458,"Roast beef hash, cnd",N/A,201,15,8.2,12,DOST PH
dost-1459,"Spring roll, beef, unckd","Lumpia, baka, hindi luto",202,7.6,40.3,1.2,DOST PH
dost-1460,"Spring roll, chicken, unckd","Lumpia, manok, hindi luto",224,5.7,39.6,4.8,DOST PH
dost-1461,"Spring roll, Shanghai, unckd","Lumpia, Shanghai, hindi luto",266,5.8,38.3,10,DOST PH
dost-1462,"Chicken noodle broth, inst",N/A,61,1.7,9.5,1.8,DOST PH
dost-1463,"Soup, beans w/ bacon, cond, cnd",N/A,50,2.6,8.6,0.6,DOST PH
dost-1464,"Soup, beef & veg, cnd",N/A,60,3.3,5.7,2.7,DOST PH
dost-1465,"Soup, bird&#39;s nest (nido), cond, cnd",N/A,45,1.3,5.3,2.1,DOST PH
dost-1466,"Soup, chicken & asparagus, cnd",N/A,20,2.1,1.5,0.6,DOST PH
dost-1467,"Soup, chicken & veg, cnd",N/A,33,1.2,6.3,0.3,DOST PH
